platform,stock_code,post_id,title,content,author,author_id,publish_time,read_count,comment_count,forward_count,bullish_bearish,has_pic,has_video,url,crawl_time
taoguba,sz000001,2t1Q9ZZXM47,理想反转因子读书笔记,"昨天对理想反转因子做了解析，今天继续深入看下如何使用。[淘股吧]我现在的思路是，根据我目前的etf反转策略先优选出目标行业，再根据行业的个股在理想反转因子的选股。目前有两种情况，第一是当期只有1个行业，另外就是当期很很多行业当期都很多行业的时候，就比较复杂，数据量会很大，按照我现在的计算量，实现起来还挺难的我们先按照全市场来做1、准备原始数据Step 0：准备原始数据从行情数据库拉所有股票，4个日期的收盘价 + 行业分类 + 流通市值：时间怎么取都行比如：股票 行业 6月23日收盘 6月22日收盘 流通市值(亿)────────────────────────────────────────────────────────────立讯精密 电子 38.50 40.20 2800海康威视 电子 32.10 33.50 2200歌尔股份 电子 18.20 19.80 800长电科技 电子 26.50 27.30 650韦尔股份 电子 95.00 98.00 500────────────────────────────────────────────────────────────恒瑞医药 医药 48.50 47.00 3200迈瑞医疗 医药 285.00 278.00 3800药明康德 医药 52.00 55.50 1800泰格医药 医药 68.00 71.20 750康龙化成 医药 28.50 31.00 400────────────────────────────────────────────────────────────招商银行 银行 38.20 38.50 11000宁波银行 银行 26.80 27.10 2500平安银行 银行 11.50 11.80 2200杭州银行 银行 13.20 13.40 900成都银行 银行 14.80 15.10 600Step 1：计算每只股票的4日反转率这个比较简单，就是现在/4天前close -1每只股票都有自身的反转率Step 2：行业内市值分组把每个行业内部的股票进行三等分，你比如三个行业，每个行业三等分，那就是分成了9份我是按照市值30%、40%、30%进行的三等分Step 3：计算每个格子的平均反转率现在每个格子的标签就是（行业、市值），计算每个格子的平均反转率， 就把上面计算的格子里的每只个股的反转率加起来平均。Step 4：计算反转残差格子内每只票的反转率与平均反转率的差值ε实际含义就是我在同行业内，比我相同市值的股票，多跌了多少。现在每只股票的 ε 的含义非常清晰——ε 为负且绝对值大（比如歌尔股份 ε=-2.57%）：它比同行业同市值级别多跌了一大截 → 这是""过度反应""，反转买入信号强ε 为正且绝对值大（比如长电科技 ε=+2.58%）：它比同行业同市值级别少跌了/甚至涨了 → 没有超跌，不买ε 接近0：和同类差不多，没有额外的反转信号格子里只有1只股票：ε=0，因为没有同类可以比 → 这个信号不可靠Step5：Z-S CORE 计算出全市场的ε以后，做数据进行Z处理。把不同行业不同市值统一到一个尺度每个行业只取前3即可。Step6：RANK归一排序后取前10作为买入标的，同行业股票不超过2只以上就完成了理想反转因子的算法搭建不过回测结果挺烂的。这个因子本身价值有限",拉普拉斯怪,,2026-06-29 20:47,145,0,,,,,https://www.tgb.cn/a/2t1Q9ZZXM47,2026-07-05 07:35:52
taoguba,sz000001,2sZTuDITsnF,什么时候买老登合适？,最近开始陆陆续续买了一些老登股，被揍的厉害。然后越跌越补，目前亏损倒是还好，5-10个点左右。有些股在我看来确实已经超跌的厉害，足够的便宜，行业模式我觉得也足够的简单，属于看得懂的地步。周末会刷到一些视频，外加自己看财报，分析他的盈利模式，目前就平安，招行加平安银行。本质上都是拿别人的钱做自己的生意，安全垫也足够，付出的成本很少，银行活期的利息忽略不计，定期的利息也好解决，这些都是去买长期国债的，肯定比定期利息高，价差吃的美美的。保险也很简单，我自己也买保险，大部分也是多年后的债，覆盖且产生利息问题不大，只要存款或保费还在，那这个生意就做的下去。当下我理解大部分人赚了钱还是喜欢存银行或者买一些银行理财，消费意愿减弱更加导致存款意愿加强，没看到生意做不下去的趋势。存款利息跑不过通胀确实是个悲哀，但是五千年下来的储蓄惯不是那么容易改变。看到账户绿油油的数据，当然还是不会那么舒服，就延伸出来一个问题，什么时候可以买。我个人的观点是，目前的价格其实已经足够的吸引人，如果是个左侧交易者，现在其实已经可以分批入场，每跌一个价格逐步加仓即可，如果想All in也可以，卸掉软件，每年分红安装回来复投即可。如果问我现在是不是底，个人觉得还没有完全到，我刷视频，还是有一些价值投资的博主在做心理按摩，目前科技与老登的博弈看似科技全面占优，但是老登还没有完全溃败，什么时候市场上坚持价投的声音几乎听不到了，我想离底也就真的不远或者已经到了。还差一个哀鸿遍野呢声音确认。至于这个节点会不会来，我不知道，但是真的来了，我想我会考虑融资再买一些。,随浮沉浪,,2026-06-28 16:38,85,0,,,,,https://www.tgb.cn/a/2sZTuDITsnF,2026-07-05 07:35:55
taoguba,sz000001,2sJrVgXnQwe,与股市结缘,股票，在2026年1月29日前，从来没想过我会进入这个市场。因为在我眼中股票是学金融的才会去做，更没想过能挣钱。我跟股票的缘分，是因为黄金。看日子，1月份正是黄金的加速赶顶时间。现在分析期加速赶顶。虽然我只买了几万块钱的，天天有收益，心里美滋滋的，后来买了有200多克，才知道不要随意加仓。正如大家经历的一样我的积存金，咔咔往下掉。直到今天我还是一克没有卖。不知道要套我多久。原打算这部分钱用在换房子上，后来我跟老公说，如果这样一直套着，那就是我应该过这样的生活。我们积蓄不多，不像股吧上的大佬几百上千万，我们百也不百。缘分就是如此奇妙，在平安银行买过积存金，我跟我老公说，我还开过证券账户，闲钱都买了国债。我脑洞大开，这个积存金跟股票不是一个性质的吗？我从此踏上了股市之路。当时正直黄金好，想着白银也不错，就买了湖南白银，盛屯矿业，万华化学，中国海油，亚星锚链，新能车，光伏，中瓷电子。放了第一天挣了千把块，挺开心，突然黄金一克跌了100多，我老公说，全都卖了，不玩了，我也知道这是他辛苦挣来的钱，我把股票都卖掉了。只挣了几百块。后来积存金又涨上来了。刚好我的电商工作，我自己开店铺，上链接，售后客服，姐姐帮我发货，跟姐6我4的利润，如果姐姐不帮我，我也挣不住钱，所以给姐姐6，几年下来也没挣住钱，算算一年就挣2万左右。我想照顾孩子，还想挣钱，但是不想给人打工，因为打工只能解决温饱问题，想换个大三室的房子，那就需要搭上这半生的时间，所以在我老公受伤后，就没有再提过一次换房子，我总说的一句话，我不想买个爷，每月需要5000-7000的房贷，我更想我老公和我精神放松，好好培养孩子。所以我来了股市，起初，我老公说，每天挣三五百块就可以。在上次全部卖出之后，再选股，还是选了十几个，在大约3月份的时候把红的全部卖了，剩的有湖南白银，兴业银锡，当看到股票盈亏变成绿色的时候，着急过，失眠过，后来自己想办法，找信息，来到股吧，遇见了永红飞扬，他是做涨停股的，跟着他买了奥瑞德，神州高铁哈投股份，成功被套牢了，到现在还在套着，也不想做t了，另一个是峰谷轮回老师，跟着他买了丰元股份，这个股票真不错，但是太贪心了，涨停没有卖掉，套了近一个月吧，在最低点卖了400股，好亏，还有100，我看着涨价了也没有接回，总共亏损2000多。总结这两个老师给推荐没有错，我拿着也没有错，错的是自己对公司以及大环境理解不到位，丰元股份自己没有研究不敢拿，天天看分时线，分析技术，技术掌握的还不到位。,三妮妮,,2026-06-18 18:51,246,0,,,,,https://www.tgb.cn/a/2sJrVgXnQwe,2026-07-05 07:35:58
taoguba,sz000001,2sw5VfteRJM,0609【30分钟复盘】周三 防御 银券化工材料旅媒,我注意到轮动节奏[淘股吧]昨天的科技硬件隔了2天，今天的材料也隔了2天，银行隔了1天。想象中的节奏是12121，实际可能是涨1~2天，歇息1~2天。1、今天最强的 3 个板块是什么？2、它们第一次启动，还是已经加速？3、市场主线有没有变化？【权重护盘】保险3% 银行1.9% 证券1% 人寿4.5%、厦门银行5.8%、华安证券5%不是第一次启动，周一防御，周三再防御。人保的均线可能太散了今天不如人寿，沪农商行、平安银行、华夏银行望过去都还不错。防御板块没意思。【材料】化工材料 / 电子材料 / 半导体材料 （今天重点看材料）化学制品0.9% 化学原料0.7% 塑料制品0.6% 半导体材料+4.36% 氟化工3.6% 电子化学品0.7% 光刻胶1.5%2 板: 中化国际、圣泉集团、宿迁联盛、和远气体、宏昌电子、康达新材、山东玻纤怡达股份20%、雅克科技10%昨天半导体、PCB、CPO 全面回流，今天资金切到材料端抱团，是科技主线内部的材料分支扩散，部分核心加速。这些科技歇菜，半导体 -0.3% 元件 -3.8% 通信设备 -3.2% 消费电子 -3.1%CPO -3.2% 铜缆高速连接 -3.5%【文旅传媒】旅游及酒店1.88% 饮料制造0.4% 啤酒概念1%4 板:天娱数科创业板：佳创视讯20%主板:大连圣亚、天府文旅、惠泉啤酒、元祖股份、城市传媒、中视传媒10%文旅消费位置低，像今天的新轮动。不能说第一次启动，因为天娱数科4 连板，打出了情绪高度，虽然它涨跟文娱没太大关系。天娱数科是某个周末物理AI发酵后第一个在涨停理由里标“物理AI”的股，吸引了太多目光，于是乎，装死、跌停、阴线，摆出倒地不起的样子，再啪啪啪啪4板，这就是广告公司的基本功了，为演技鼓掌~劈里啪啦~~呵，让我康康人工跌停板长什么样市场从进攻型科技主线，切到了防御 、补涨 、局部抱团。昨天挨个筛选的票有个怡达20%，今天全场只有2个涨停的创业板，另一位是尾盘拉板的佳创视讯。构成特殊事实，需进一步梳理。早盘的失误在于，化工竞价强，我没把怡达归类到化工，提前了解它，只念着它光刻胶的概念，还跑过去看了一眼百川。今日何时可以B怡达？早盘站上日线压力B，首次冲高不追，回踩不破，二波放量B,7Ego,,2026-06-10 17:44,354,4,,,,,https://www.tgb.cn/a/2sw5VfteRJM,2026-07-05 07:36:00
taoguba,sz000001,2sw24ENQXEn,4000点上下反复收割，这盘面绝了,大盘状态[淘股吧]周四大盘高开后全天红盘震荡盘整走势，小阳线收盘，报收3435点，沪深共计成交7500亿左右，成交量还是萎缩状态。沪指 明日反弹压力4015点，强压力4055点。 调整支撑3955点，强支撑3927点。创指 明日反弹压力3903点，强压力3928点。 回调支撑3818点，强支撑3776点。一股海研判现在美股科技就是大哥，大哥咋走小弟咋走，昨晚美股科技又哑火了，今日亚太又跟着集体扑街。尤其是韩国小弟，那叫一个刺激，前天大跌熔断，昨日大涨熔断，今日反手又是大跌熔断，这要是不来个熔断，都不叫开盘。对于这种波动，我们大A股还算友好，但个股的阴跌也够恶心的。今日又是亏钱炸裂的一天，盘中中位数一度又大跌近3%，和前天一样血洗的架势，好在尾盘收回了一些。但总是这么大跌一天，牵走一头牛，然后微红小回血一下，还来一只鸡，然后继续大跌，股友们显然谁也扛不住啊。 本来中东局势对于A股的影响已经微乎其微了，但在近日资金巨大博弈的风口下，影响却被放大。而且还是坏消息发酵。 美伊再次开火，美媒称美军打击了伊朗境内20个目标。而伊朗革命卫队打击位于约旦的美军基地。 其实昨晚美股开盘前，川普曾放利好，说美伊谈判已进入“最后关头”，将在“两到三天内”达成协议！结果昨晚美股还会高开低走，尤其科技再度走弱下跌，今日A股只能是再度跟随。 另外科技成长主线最大的利好货币宽松基础又有坏消息。有消息，即将公布的美国5月通胀率预计将突破4%，进而导致美联储最快可能在今年10月加息25个基点。（具体还得看今晚的最终通胀数据） 与此同时，日本央行也传来了明确的加息信号，日本央行拟于6月16日将基准利率从0.75%上调至1.0%。 外围货币收缩，必然也会影响我们的央妈动作，前两月逆回购已经是不断净回笼趋势，这对大盘基本面已经科技成长肯定是利空预期了。 今晚美帝数据，今日我们国家统计局也发布了数据，5月份，居民消费市场运行总体平稳，居民消费价格指数（CPI）环比下降0.1%，同比上涨1.2%，扣除食品和能源价格的核心CPI同比上涨1.1%。工业生产者出厂价格指数（PPI）环比上涨0.5%，同比上涨3.9%。尤其是工业PPI，连续三月上行并创下46个月新高；显然也有点通胀趋势，但总体还算平稳，不至于像美帝那边。 这三天的盘面在美股科技扰动下，走的太极端。 昨日大涨的科技，今日再度分化，科技光更是大跌。而昨日大跌的老登消费今日开始止跌反弹。这种风格的高频切换让很多人体感特别差。 所以这阶段别看市场中总是有这样那样的投降书，当然近期最大的都是老登向科技的投降书。但面对这种极端的盘面，最理智的策略还是均衡配置。 如果你是激进派，风险偏好高，科技就持仓占比大一点，然后老登持仓小一点，再流出3成左右仓位做机动。如果是稳健派，风险偏好低，就小仓位买入科技，这样科技的大涨也有分参与，不至于看着不断新高影响心态，然后把低位老登持仓多一点，但也不是满仓的节点，也必须留出至少3成仓位作为机动。进可攻退可守。 除了老登和科技，这两日还有一条线又鸟悄新高了。那就高股息银行。这两日银行密集现金分红。今日中信银行实施2025年度分红方案，每10股派1.93元(含税)。贵阳银行10派3元(含税) 除权。周一，上海银行；周二，常熟银行，紫金银行。此外，兴业银行，平安银行也将分红。据统计，42家A股上市银行中，除了郑州银行外，其余41家银行2025年度都将进行现金分红。 所以今日银行连续第4日收阳，创近1个半月来新高。建设银行创历史新高。 今日大盘再度大幅低开后全天弱势宽度震荡下跌走势。盘中一度低开低走大幅下跌，但午后又大幅回收最终收跟假阳线。虽然股指回收没跌多少，但盘面还是大幅二八分化格局，中位数再次大跌1.46%，显然又是亏钱效应很炸裂的一天。现在的盘面可恶就在资金完全围绕着科技转，然后就是极致的杀个股。前天大跌，中位数大跌近3%，昨日科技强反，大部分个股反包阳，但中位数仅仅是微涨0.5%，连前天的一半都不到，结果今日科技再度大跌下，中位数继续大跌，本来昨天很多账户都没回血，今日又血亏，这哑然就是拿科技做幌子，天天割散户韭菜。 对于大盘，其实走势也没啥太大变化。今日盘前给了上下档重要关注点位。上档强压4015-4055点，今日低开后始终水下。而下档3955-3927点，今日最低3963点正好是靠近3955点。 综上，大盘在下破后，3927已经出现了短期低点信号，只是级别不是很大，同时昨日的反弹大幅缩量，资金谨慎，所以出现反复也属正常，接下来大盘还有反弹需求。 向上就重点关注4055点位置，这里是上破调整结束的标准点。放量强势突破，调整就代表结束。,股海VS泛舟,,2026-06-10 16:50,499,0,,,,,https://www.tgb.cn/a/2sw24ENQXEn,2026-07-05 07:36:03
taoguba,sz000001,2slxy7Sc2cT,6.4盘前热点,6月4日一、盘前热点梳理1、昨日连板汇总迈威尔：鑫科材料CPO+电子胶：天洋新材MLCC上游碳酸钡：红星发展光纤光缆：亨通光电电力板块：广西能源煤炭：大有能源机器人：模塑科技泵浦激光器：久之洋6.4日2、富时中国A50指数季度调整富时罗素公布指数季度修订，富时中国A50纳入：兆易创新、澜起科技、东山精密、胜宏科技、潍柴动力；同步剔除中国建筑、海天味业、海尔智家、平安银行、迈瑞医疗，调整6月18日收盘后正式落地生效，将带来被动资金配置窗口期。3、纳微半导体大涨19.26%｜第三代功率半导体（GaN+SiC）纳微半导体官宣接入英伟达MGX生态，合作落地800VDC AI算力基础设施，美股单日大涨19.26%；主营氮化镓、高压碳化硅功率芯片。A股对标：宏微科技、东微半导、斯达半导、扬杰科技、士兰微。4、文昌航天6月五连发｜商业航天催化文昌航天官宣6月进入密集发射周期、全年五连发，官方发射观礼开启预约。标的：铖昌科技、中国卫星、航天工程、航天机电、鲁信创投。5、全国首条跨城域量子加密OTN专线商用落地中国电信+量子集团+科大国盾+烽火通信联合落地通量密一体加密OTN现网商用线路，量子通信产业化提速。标的：国盾量子、烽火通信。6、行业要闻十条1. 央视财经：光纤光缆订单排产至2027年，头部加速光棒自研扩产｜亨通光电、长飞光纤2. 观影消费持续爆发，院线板块景气上行｜横店影视、博纳影业、幸福蓝海3. 广电总局启动微短剧低俗、盗版专项整治｜百纳千成、欢瑞世纪4. 秘鲁鱼粉报价创历史新高（2900美元/吨），年内涨幅77%｜百洋股份、好当家5. 比亚迪官宣自研人形机器人｜比亚迪、通达动力6. 豆包上线专业版，覆盖编程、数据分析、金融投研、工业设计等全品类专业服务7. 多家外资机构上调中国科技企业投资评级，持续加码国内硬科技赛道8. WSTS预测：2026全球半导体市场同比大增近90%，总规模突破1.5万亿美元9. SpaceX敲定IPO：发行5.556亿股，发行定价135美元/股10. 美伊谈判进展顺利，众议院议案限制总统对伊动武，地缘避险降温二、公告精选1. 兖矿能源：164.15亿元收购控股股东旗下新能源集团、山能售电100%股权2. 德力股份：定增募资≤8.18亿元，实控人拟变更为翼元航空3. 飞沃科技：收购西安创航精密60%股权，深耕精密制造4. 唯捷创芯：2.7亿元参股射频芯片企业偲百创（持股33.4%）5. 数据港：拟采购≤8亿元科学计算设备与算力服务6. 平治信息：预中标中国移动1.37亿元智算集群项目7. 永冠新材：定增募资≤9.27亿元，投向2000吨电子玻纤布项目8. 博威合金：为Rubin架构液冷配套铜金刚石、3D打印、微通道多类型散热方案9. 泰和新材：对位芳纶产销率100%，国内主流光缆厂为核心客户10. 大全能源：60亿元投建智慧能源系统制造基地11. 华虹公司：6月8日证券简称变更为【华虹宏力】,茜女妖精,,2026-06-04 09:07,296,0,,,,,https://www.tgb.cn/a/2slxy7Sc2cT,2026-07-05 07:36:05
taoguba,sz000001,2slkwu9qv75,6月4日：硬科技、光纤光缆、泵浦激光器、AI云电脑等概念股梳理,,概念百科,,2026-06-04 06:05,1399,0,,,,,https://www.tgb.cn/a/2slkwu9qv75,2026-07-05 07:36:07
taoguba,sh600519,2taTPanZ07s,A股最新人气榜前50名,1.江波龙.3013082.埃斯顿.0027473.卧龙电驱.6005804.京东方A.0007255.三花智控.0020506.双环传动.0024727.东方财富.3000598.国泰海通.6012119.多氟多.00240710.长电科技.60058411.拓普集团.60168912.太极实业.60066713.雷赛智能.00297914.贵州茅台.60051915.深科技.00002116.绿的谐波.68801717.金发科技.60014318.中大力德.00289619.日发精机.00252020.信立泰.00229421.兆易创新.60398622.天娱数科.00235423.昊志机电.30050324.柯力传感.60366225.德明利.00130926.华天科技.00218527.中国巨石.60017628.大洋电机.00224929.领益智造.00260030.C华润.00124831.杭电股份.60361832.拓斯达.30060733.科伦药业.00242234.长盛轴承.30071835.风语筑.60346636.TCL科技.00010037.大唐发电.60199138.首开股份.60037639.中天科技.60052240.富春染织.60518941.五洲新春.60366742.安洁科技.00263543.铖昌科技.00127044.亨通光电.60048745.石药景峰.00090846.药明康德.60325947.贝斯特.30058048.东山精密.00238449.彩虹股份.60070750.兆威机电.003021最新人气榜单高度聚焦机器人、半导体等硬科技赛道，体现市场对“新质生产力”的追捧；传统白马与周期股仅零星入围，资金进攻性较强。,土豆丁丁,,2026-07-05 07:47,196,0,,,,,https://www.tgb.cn/a/2taTPanZ07s,2026-07-05 07:36:16
taoguba,sh600519,2t6Enxz4s0W,20260702成交额前100，成交额101~200数据,"📊 7月2日 A股成交排行日报[淘股吧]数据源：腾讯行情API（成交额）+ 东方财富（个股明细）⚠️ 注：您指定的52daban.com仅提供连板涨停数据，无成交额排名，改用东方财富API数据日期：2026-07-02【两市总成交】（腾讯行情API）• 沪市：15,772亿• 深市：18,734亿• 两市合计：34,506亿（≈3.45万亿）【成交额前100】（东方财富API · 已剔除今日新股N华润）• 前100合计：10,910亿（剔除新股后99只）• 占两市总成交：31.6%• 前100平均涨幅：-5.47%• 上涨17只 / 下跌82只• 第1名：京东方Ａ 493.42亿• 第100名（剔除新股后）：巨化股份 600160 70.27亿【涨幅TOP20】（剔除新股N华润）1⃣ 昆仑万维 300418 +12.19%（67.59亿）2⃣ 永太科技 002326 +7.61%（59.89亿）3⃣ 方正科技 600601 +6.80%（77.32亿）4⃣ 紫金矿业 601899 +4.74%（133.02亿）5⃣ 豪威集团 603501 +4.28%（74.75亿）6⃣ 京东方Ａ 000725 +3.76%（493.42亿）7⃣ 比亚迪 002594 +3.61%（69.57亿）8⃣ 洛阳钼业 603993 +3.16%（79.44亿）9⃣ 蓝色光标 300058 +2.23%（76.44亿）🔟 三花智控 002050 +1.61%（81.61亿）1⃣1⃣ 昊华科技 600378 +1.44%（96.21亿）1⃣2⃣ C惠科 001399 +1.17%（102.39亿）1⃣3⃣ 中钨高新 000657 +1.14%（102.01亿）1⃣4⃣ 中矿资源 002738 +0.92%（59.60亿）1⃣5⃣ 贵州茅台 600519 +0.84%（61.22亿）1⃣6⃣ 天赐材料 002709 +0.68%（79.04亿）1⃣7⃣ 南大光电 300346 +0.03%（103.00亿）（仅17只上涨，其余均为下跌）【跌幅TOP20】1⃣ 中科飞测 688361 -15.64%（74.46亿）2⃣ 华海清科 688120 -14.85%（71.35亿）3⃣ 澜起科技 688008 -14.80%（256.43亿）4⃣ 香农芯创 300475 -13.38%（124.11亿）5⃣ 江丰电子 300666 -13.15%（87.38亿）6⃣ 三环集团 300408 -13.06%（136.54亿）7⃣ 天孚通信 300394 -12.01%（137.43亿）8⃣ 新易盛 300502 -11.56%（365.74亿）9⃣ 中微公司 688012 -11.49%（184.86亿）🔟 协创数据 300857 -11.39%（77.61亿）1⃣1⃣ 江波龙 301308 -10.27%（127.72亿）1⃣2⃣ 永鼎股份 600105 -10.01%（55.15亿）1⃣3⃣ 深科技 000021 -10.01%（99.41亿）1⃣4⃣ 北方华创 002371 -10.00%（103.46亿）1⃣5⃣ 风华高科 000636 -10.00%（58.91亿）1⃣6⃣ 雅克科技 002409 -10.00%（91.87亿）1⃣7⃣ 沪电股份 002463 -10.00%（117.70亿）1⃣8⃣ 华工科技 000988 -10.00%（129.89亿）1⃣9⃣ 太极实业 600667 -10.00%（115.61亿）2⃣0⃣ 光迅科技 002281 -10.00%（79.90亿）📌 小结：科技半导体板块遭遇重挫，受益于Meta算力出租消息导致算力泡沫担忧，费城半导体指数隔夜暴跌6.27%。成交额前100中82只下跌，半导体/光模块/设备股跌幅居前。仅昆仑万维（AI应用）、京东方A（面板）、紫金矿业（黄金有色）等少量股票逆势上涨。 7月2日 A股成交排行补充日报（101-200名）数据源：腾讯行情API + 新浪财经数据日期：2026-07-02【两市总成交】• 沪市：15,772亿• 深市：18,734亿• 两市合计：34,506亿（≈3.45万亿）【成交额前101200】（新浪财经API）• 前101200合计：4,238亿• 占两市总成交：12.3%• 平均涨幅：-4.76%• 上涨21只 / 下跌78只 / 平盘1只• 第101名：彤程新材 54.80亿• 第200名：国民技术 33.10亿【涨幅TOP10】1⃣ 黄河旋风 600172 +10.01%（40.55亿）2⃣ 江化微 603078 +8.05%（39.39亿）3⃣ 章源钨业 002378 +7.69%（43.14亿）4⃣ 东方锆业 002167 +7.29%（50.97亿）5⃣ 晶瑞电材 300655 +5.89%（45.33亿）6⃣ 彤程新材 603650 +5.64%（54.80亿）7⃣ 四方达 300179 +5.54%（48.48亿）8⃣ 拓维信息 002261 +4.99%（43.60亿）9⃣ 易点天下 301171 +4.51%（33.94亿）🔟 圣邦股份 300661 +3.49%（43.87亿）【跌幅TOP10】1⃣ 珂玛科技 301611 -16.49%（40.91亿）2⃣ 富创精密 688409 -16.01%（48.92亿）3⃣ 华峰测控 688200 -15.07%（42.12亿）4⃣ 神工股份 688233 -14.50%（51.21亿）5⃣ 迈为股份 300751 -13.11%（45.30亿）6⃣ 长芯博创 300548 -12.60%（40.15亿）7⃣ 精智达 688627 -12.08%（47.21亿）8⃣ 宏景科技 301396 -12.06%（40.63亿）9⃣ 芯源微 688037 -11.77%（44.47亿）🔟 麦捷科技 300319 -11.16%（46.30亿）📌 小结：科技板块全线重挫，101-200名同样以半导体/先进制造为主，跌多涨少，平均跌幅-4.76%。涨幅榜靠前的以涨价周期股（钨业、锆业）和部分化工/超跌反弹股为主。",feel3613,,2026-07-02 18:20,196,0,,,,,https://www.tgb.cn/a/2t6Enxz4s0W,2026-07-05 07:36:19
taoguba,sh600519,2t54fK78urB,高价股的对子顶，哪一个会成真？,高价股的对子顶，哪一个会成真？联讯仪器，最高价2777.77，这太吓人了。寒武纪，最高价1620.00，除权前最高价1966.00。中际旭创icon，最高价1416.88，近期负反馈多。贵州茅台icon，最高价2627.88，历史大顶。兆易创新icon，最高价846.66，还挺坚强的。 江波龙icon，最高价749.88，今天回落有点多。精智达，最高价736.36，机构抱团出来的。大普微，最高价918.88，两个月了。鼎泰高科icon，最高价666.00，连续负反馈。芯碁微装icon，最高价577.66，今天有点坑。长飞icon光纤，最高价600.00，整数压力关。国盾量子icon，最高价760.88，不在风口。盛美上海icon，最高价459.99，开始有压力。优讯股份，最高价518.88，最近有点差。中船特气icon，最高价416.99，进入震荡区。鼎通科技icon，最高价444.00，震荡走弱。吉比特icon，最高价668.00，历史大顶。等等，还有很多。数字对子顶，并不一定是大顶，少数过高的会。但是有一定的风险警示作用。主要看反馈，如果持续负反馈，压力就会越来越大，从而趋势也就转变了。,冷血777,,2026-07-01 19:27,177,0,,,,,https://www.tgb.cn/a/2t54fK78urB,2026-07-05 07:36:21
