post_id,user_id,author,created_at,title,text,reply_count,like_count,retweet_count,view_count,symbol,stock_name,source,url,truncated,fav_count,crawl_time
373935520,1012092979,狭路逢,2026-01-30 02:05:31,,$ST诺泰(SH688076)$ 老弟们有没有走的？有没有扛不住这个瀑布的？,4,6,0,11404,SH688076,ST诺泰,Android,https://xueqiu.com/1012092979/373935520,0,0,2026-07-08 16:24:04
373938322,3058489894,矫情的小手,2026-01-30 02:11:01,,$ST诺泰(SH688076)$ 别说避险功能了，你是啥都不跟啊！今天加仓是我最后的倔强。,2,16,0,26164,SH688076,ST诺泰,iPhone,https://xueqiu.com/3058489894/373938322,0,0,2026-07-08 16:24:04
373965191,8296981195,2528658popo,2026-01-30 03:06:10,,$ST诺泰(SH688076)$ 留在诺泰的都是老油条，50.8都没跑的我，现在肯定更不会跑呀盘后发预告，虽然往年四季度都不会太好,4,6,0,12429,SH688076,ST诺泰,Android,https://xueqiu.com/8296981195/373965191,0,0,2026-07-08 16:24:04
374002109,8430456713,大空头马鸿运,2026-01-30 05:37:56,,$ST诺泰(SH688076)$ 我又回来了，看看怎么个事,9,17,0,26362,SH688076,ST诺泰,雪球,https://xueqiu.com/8430456713/374002109,0,2,2026-07-08 16:24:04
374018628,5536931131,一年赚10个点的男人,2026-01-30 06:33:09,大家好，我是横盘两年半的练习生诺泰！,"诺泰生物被 ST，原因 2021 年年报虚假记载、2023 年可转债募集说明书存在重大虚假内容，触发科创板上市规则相关条款，2025 年 7 月 22 日起简称变更为 “ST 诺泰”。到目前为止12月17号已经下达了正式的处罚告知书，财报问题已经处理完毕，目前就是等待到今年的12月份熬够12个月的带帽时间，然后申请摘帽，确保内控完善、无新增违法违规，整改验收通过。预计完成摘帽时间是27年内元旦后。当然如果资料以及各种审核提前完成，可以按最短时间算，在元旦前完成摘帽。按照目前的公开资料，诺泰的摘帽问题基本上可以解决。那要算的就是值不值得买的问题。首先ST得摘帽一般都有一个流动性溢价的空间，也就是说摘帽前后都会涨一波，参考以往的经验这个空间大概20-30%,要吃这部分涨幅其实买完拿着就好，等时间就行。另外就是公司估值的恢复的涨幅，目前参考整体行业增速，诺泰的增速略高于其他上市公司，另外就是整体行业估值参考偏低的圣诺PE在35倍。大概的参考时间线跟价格，年报做实增速没有问题股价回到40元以上，在年报后到摘帽期前这个时间主要就是看业务增长情况，预计股价在45-50元，摘帽后预期是50元以上，如果能恢复到正常估值PE35，那么股价到60以上没有问题。按保守算法，就算股价到45-50的区间，对比现有价格收益率依旧可以达到30%以上。以上所有分析未考虑股市整体行情，未考虑该行业的行情情况，未考虑新增退市及违法风险！$ST诺泰(SH688076)$ #上证指数#",3,3,0,19990,SH688076,ST诺泰,雪球,https://xueqiu.com/5536931131/374018628,0,0,2026-07-08 16:24:04
374032843,1588866411,高兴和多多,2026-01-30 07:17:52,,$ST诺泰(SH688076)$ 带st那天36.4最低点，现在比之前跌的还多问题不小啊,3,6,0,6688,SH688076,ST诺泰,iPhone,https://xueqiu.com/1588866411/374032843,0,0,2026-07-08 16:24:04
374062315,0,ST诺泰(SH688076),2026-01-30 09:26:00,,ST诺泰：2025年年度业绩预告 网页链接,27,10,1,26901,SH688076,ST诺泰,公告,https://xueqiu.com/S/SH688076/374062315,0,2,2026-07-08 16:24:04
374064074,1588866411,高兴和多多,2026-01-30 09:34:15,,$ST诺泰(SH688076)$ 业绩预告千呼万唤始出来,0,2,0,4733,SH688076,ST诺泰,iPhone,https://xueqiu.com/1588866411/374064074,0,0,2026-07-08 16:24:04
374064658,7578010490,淘金奶爸,2026-01-30 09:37:44,,$ST诺泰(SH688076)$ $阿诺医药(ANL)$ 诺泰也终会迎来高光时刻！阿诺医药乐观点可以先看到10亿美金，现在价格还有很大空间。但是，剧烈波动再所难免,1,3,0,8345,SH688076,ST诺泰,Android,https://xueqiu.com/7578010490/374064658,0,0,2026-07-08 16:24:04
374065025,4202117770,短中长线卧倒选手,2026-01-30 09:39:51,,$ST诺泰(SH688076)$ 怪不得股价垃圾，越跌越贵了属于是,0,4,0,7538,SH688076,ST诺泰,iPhone,https://xueqiu.com/4202117770/374065025,0,0,2026-07-08 16:24:04
