post_id,user_id,author,created_at,title,text,reply_count,like_count,retweet_count,view_count,symbol,stock_name,source,url,truncated,fav_count,crawl_time
391248956,1390686385,张扬1579,2026-05-27 06:51:26,,$ST得润(SZ002055)$ 每次无脑吹一出来，就是这个结果，还好一破板就跑了。。。。现在要不要买回来是个问题。。。。,0,3,0,4573,SZ002055,ST得润,Android,https://xueqiu.com/1390686385/391248956,0,0,2026-07-08 16:25:48
391251815,4588958348,买在无人问津处,2026-05-27 06:59:59,,$ST得润(SZ002055)$ 不跌停，留个缝干嘛,0,0,0,5364,SZ002055,ST得润,雪球,https://xueqiu.com/4588958348/391251815,0,0,2026-07-08 16:25:48
391252036,8486540964,我是夹头哥,2026-05-27 07:00:38,,$ST得润(SZ002055)$ 明天跌停我再进点货,0,0,0,5708,SZ002055,ST得润,Android,https://xueqiu.com/8486540964/391252036,0,0,2026-07-08 16:25:48
391252252,1847527833,不熬夜了再改昵称,2026-05-27 07:01:18,,$ST得润(SZ002055)$ 谁来分析一下，怎么这么大成交量,10,0,0,4987,SZ002055,ST得润,Android,https://xueqiu.com/1847527833/391252252,0,0,2026-07-08 16:25:48
391252315,1505804711,修心谨言wy,2026-05-27 07:01:28,,$ST得润(SZ002055)$ 今天多空战斗真激烈，等缩量之后，我再加入战斗！,0,1,0,5758,SZ002055,ST得润,Android,https://xueqiu.com/1505804711/391252315,0,0,2026-07-08 16:25:48
391252516,1689984012,Real南通炒家,2026-05-27 07:02:03,,$ST得润(SZ002055)$ 昨天上榜的武定路，是之前ST铖昌的老庄，这次这么没有格局？,0,0,0,5015,SZ002055,ST得润,雪球,https://xueqiu.com/1689984012/391252516,0,0,2026-07-08 16:25:48
391252600,6549060841,韭菜想炒股致富,2026-05-27 07:02:18,,$ST得润(SZ002055)$ 好好的股票被几个所谓的大v又给吹死了，真的无脑吹,0,3,0,10527,SZ002055,ST得润,iPhone,https://xueqiu.com/6549060841/391252600,0,0,2026-07-08 16:25:48
391254181,3377153066,铁血尖兵小博,2026-05-27 07:06:38,,$ST得润(SZ002055)$ 像吗,13,4,0,7075,SZ002055,ST得润,Android,https://xueqiu.com/3377153066/391254181,0,0,2026-07-08 16:25:48
391254343,9970243005,大卫家的小橘子,2026-05-27 07:07:03,,$ST得润(SZ002055)$ 短期走势完全废了，要等涨停板接货的割肉出局才有希望了，无脑吹票真的害死人,1,1,0,6718,SZ002055,ST得润,iPhone,https://xueqiu.com/9970243005/391254343,0,0,2026-07-08 16:25:48
391255266,1175533996,重开一局,2026-05-27 07:09:44,,$ST得润(SZ002055)$ 这个票市值才40多亿，成交10亿，目瞪口呆,2,1,0,7210,SZ002055,ST得润,Android,https://xueqiu.com/1175533996/391255266,0,0,2026-07-08 16:25:48
