"post_id","stock_code","stock_name","title","author","publish_time","reads","comments"
"391248956","002055","ST得润","$ST得润(SZ002055)$ 每次无脑吹一出来，就是这个结果，还好一破板就跑了。。。。现在要不要买回来是个问题。。。。","张扬1579","2026-05-27 06:51:26","4573","0"
"391251815","002055","ST得润","$ST得润(SZ002055)$ 不跌停，留个缝干嘛","买在无人问津处","2026-05-27 06:59:59","5364","0"
"391252036","002055","ST得润","$ST得润(SZ002055)$ 明天跌停我再进点货","我是夹头哥","2026-05-27 07:00:38","5708","0"
"391252252","002055","ST得润","$ST得润(SZ002055)$ 谁来分析一下，怎么这么大成交量","不熬夜了再改昵称","2026-05-27 07:01:18","4987","10"
"391252315","002055","ST得润","$ST得润(SZ002055)$ 今天多空战斗真激烈，等缩量之后，我再加入战斗！","修心谨言wy","2026-05-27 07:01:28","5758","0"
"391252516","002055","ST得润","$ST得润(SZ002055)$ 昨天上榜的武定路，是之前ST铖昌的老庄，这次这么没有格局？","Real南通炒家","2026-05-27 07:02:03","5015","0"
"391252600","002055","ST得润","$ST得润(SZ002055)$ 好好的股票被几个所谓的大v又给吹死了，真的无脑吹","韭菜想炒股致富","2026-05-27 07:02:18","10527","0"
"391254181","002055","ST得润","$ST得润(SZ002055)$ 像吗","铁血尖兵小博","2026-05-27 07:06:38","7075","13"
"391254343","002055","ST得润","$ST得润(SZ002055)$ 短期走势完全废了，要等涨停板接货的割肉出局才有希望了，无脑吹票真的害死人","大卫家的小橘子","2026-05-27 07:07:03","6718","1"
"391255266","002055","ST得润","$ST得润(SZ002055)$ 这个票市值才40多亿，成交10亿，目瞪口呆","重开一局","2026-05-27 07:09:44","7210","2"
"391256761","002055","ST得润","$ST得润(SZ002055)$ 公司已经卖给我们了，只能留下做股东了","秦如许","2026-05-27 07:12:18","12008","0"
"391257288","002055","ST得润","今天吃面一碗，短期没人能精准知道走向的。另，跌了也别怪几个大V影响，涨跌其实和所谓大V关系很小，几乎可以到不计。跌了肯定不高兴，但也没太好办法。看好就拿住，不看好，随时都可以走。加油⛽ 耐心吧$ST得润(SZ002055)$ $ST惠伦(SZ300460)$","八十万韭菜总教头","2026-05-27 07:13:58","22661","7"
"391258664","002055","ST得润","$ST得润(SZ002055)$ 所以行情结束了？","俠電閃","2026-05-27 07:17:17","7946","0"
"391258748","002055","ST得润","$ST得润(SZ002055)$经典游资玩法，就是太伤人气","清朗的打新小赛道","2026-05-27 07:17:35","8015","0"
"391259084","002055","ST得润","$ST得润(SZ002055)$早盘封单太少，就该跑，可惜了。跑慢了，而且还是分批跑的，","清朗的打新小赛道","2026-05-27 07:18:47","8151","0"
"391259492","002055","ST得润","$ST得润(SZ002055)$ 又不在高位，没什么怕的，看看京蓝主升浪爆了几次巨量","偏爱高买低卖","2026-05-27 07:20:10","10165","3"
"391260149","002055","ST得润","$ST得润(SZ002055)$ 主要还是大盘要回调了，天地板，波动太大了。","修心谨言wy","2026-05-27 07:22:37","9839","0"
"391271371","002055","ST得润","$ST得润(SZ002055)$ 涨停满仓进的，怎么办？","弘量的股价小黄昏","2026-05-27 08:09:10","14319","23"
"391276384","002055","ST得润","$ST得润(SZ002055)$ 这货今天有猫狗版吗","用户1758597514","2026-05-27 08:32:23","7001","0"
"391282296","002055","ST得润","$ST得润(SZ002055)$ 跌停的时候又没人吹票了。。。","发发发暴暴暴","2026-05-27 08:58:22","10920","10"
"391295527","002055","ST得润","$ST得润(SZ002055)$ 对于还有5万股东的50亿市值以下的st票来说，在这个位置上下宽幅震荡，是有好处的，st东尼股东数人数少，筹码比较集中，就不需要这样子搞","zfauir","2026-05-27 10:04:50","9702","1"
